id,year,problem,showcase_code,title,verification_status,evidence_grade,award,authors,doi,bytes,git_blob_sha1,source_url,official_showcase_url,repository_path,rights_status
CUMCM-REF-0001,1992,A,,2 施肥方案对作物蔬菜的影响,repository_collection_claim,B,,,,688308,92368b527ca1b3f45542dfcbe5c9c69577023623,https://github.com/Xiaocold-B216/cumcm-modeling-Award-Collection/blob/a042ecf898feaba6fc81d543a10e0188db8b2b12/1992%E5%B9%B4%E6%95%B0%E5%AD%A6%E5%BB%BA%E6%A8%A1%E5%9B%BD%E8%B5%9B%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/1992%E5%B9%B4A%E9%A2%98%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87%E2%91%A1%20%E6%96%BD%E8%82%A5%E6%96%B9%E6%A1%88%E5%AF%B9%E4%BD%9C%E7%89%A9%E8%94%AC%E8%8F%9C%E7%9A%84%E5%BD%B1%E5%93%8D.pdf,,1992年数学建模国赛优秀论文/1992年A题优秀论文② 施肥方案对作物蔬菜的影响.pdf,link-and-metadata only; source repository has no declared license and underlying paper rights were not assumed
CUMCM-REF-0002,1992,A,,3 施肥效果分析,repository_collection_claim,B,,,,109927,cddba801632a0607f4fa1226a606100c8d8d34a4,https://github.com/Xiaocold-B216/cumcm-modeling-Award-Collection/blob/a042ecf898feaba6fc81d543a10e0188db8b2b12/1992%E5%B9%B4%E6%95%B0%E5%AD%A6%E5%BB%BA%E6%A8%A1%E5%9B%BD%E8%B5%9B%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/1992%E5%B9%B4A%E9%A2%98%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87%E2%91%A2%20%E6%96%BD%E8%82%A5%E6%95%88%E6%9E%9C%E5%88%86%E6%9E%90.pdf,,1992年数学建模国赛优秀论文/1992年A题优秀论文③ 施肥效果分析.pdf,link-and-metadata only; source repository has no declared license and underlying paper rights were not assumed
CUMCM-REF-0003,1992,B,,1 实验数据分解,repository_collection_claim,B,,,,112105,c21b3b00b59fafad6658dea4ed37b2a92d86e0a7,https://github.com/Xiaocold-B216/cumcm-modeling-Award-Collection/blob/a042ecf898feaba6fc81d543a10e0188db8b2b12/1992%E5%B9%B4%E6%95%B0%E5%AD%A6%E5%BB%BA%E6%A8%A1%E5%9B%BD%E8%B5%9B%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/1992%E5%B9%B4B%E9%A2%98%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87%E2%91%A0%20%E5%AE%9E%E9%AA%8C%E6%95%B0%E6%8D%AE%E5%88%86%E8%A7%A3.pdf,,1992年数学建模国赛优秀论文/1992年B题优秀论文① 实验数据分解.pdf,link-and-metadata only; source repository has no declared license and underlying paper rights were not assumed
CUMCM-REF-0004,1992,B,,2 蛋白质氨基酸的组合问题,repository_collection_claim,B,,,,934751,3642f01028d5ca4d8afe9b138ea6e9edbbdd520f,https://github.com/Xiaocold-B216/cumcm-modeling-Award-Collection/blob/a042ecf898feaba6fc81d543a10e0188db8b2b12/1992%E5%B9%B4%E6%95%B0%E5%AD%A6%E5%BB%BA%E6%A8%A1%E5%9B%BD%E8%B5%9B%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/1992%E5%B9%B4B%E9%A2%98%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87%E2%91%A1%20%E8%9B%8B%E7%99%BD%E8%B4%A8%E6%B0%A8%E5%9F%BA%E9%85%B8%E7%9A%84%E7%BB%84%E5%90%88%E9%97%AE%E9%A2%98.pdf,,1992年数学建模国赛优秀论文/1992年B题优秀论文② 蛋白质氨基酸的组合问题.pdf,link-and-metadata only; source repository has no declared license and underlying paper rights were not assumed
CUMCM-REF-0005,1993,A,,1 非线性交调的频率设计,repository_collection_claim,B,,,,134721,2def7293a94a29f8054bf9b9aaaf1ad2aeababd4,https://github.com/Xiaocold-B216/cumcm-modeling-Award-Collection/blob/a042ecf898feaba6fc81d543a10e0188db8b2b12/1993%E5%B9%B4%E6%95%B0%E5%AD%A6%E5%BB%BA%E6%A8%A1%E5%9B%BD%E8%B5%9B%E7%9C%9F%E9%A2%98%2B%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/1993%E5%B9%B4%E5%9B%BD%E8%B5%9B%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/1993%E5%B9%B4A%E9%A2%98%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87%E2%91%A0%20%E9%9D%9E%E7%BA%BF%E6%80%A7%E4%BA%A4%E8%B0%83%E7%9A%84%E9%A2%91%E7%8E%87%E8%AE%BE%E8%AE%A1.pdf,,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年A题优秀论文① 非线性交调的频率设计.pdf,link-and-metadata only; source repository has no declared license and underlying paper rights were not assumed
CUMCM-REF-0006,1993,A,,2 非线性交调的频率设计,repository_collection_claim,B,,,,792704,c8476a885882d5e6882f555e0c68f7c0e3de57bd,https://github.com/Xiaocold-B216/cumcm-modeling-Award-Collection/blob/a042ecf898feaba6fc81d543a10e0188db8b2b12/1993%E5%B9%B4%E6%95%B0%E5%AD%A6%E5%BB%BA%E6%A8%A1%E5%9B%BD%E8%B5%9B%E7%9C%9F%E9%A2%98%2B%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/1993%E5%B9%B4%E5%9B%BD%E8%B5%9B%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/1993%E5%B9%B4A%E9%A2%98%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87%E2%91%A1%20%E9%9D%9E%E7%BA%BF%E6%80%A7%E4%BA%A4%E8%B0%83%E7%9A%84%E9%A2%91%E7%8E%87%E8%AE%BE%E8%AE%A1.pdf,,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年A题优秀论文② 非线性交调的频率设计.pdf,link-and-metadata only; source repository has no declared license and underlying paper rights were not assumed
CUMCM-REF-0007,1993,B,,2 足球排名次问题,repository_collection_claim,B,,,,129101,feb5518d018b920c58f33f58cd39215ee04831e9,https://github.com/Xiaocold-B216/cumcm-modeling-Award-Collection/blob/a042ecf898feaba6fc81d543a10e0188db8b2b12/1993%E5%B9%B4%E6%95%B0%E5%AD%A6%E5%BB%BA%E6%A8%A1%E5%9B%BD%E8%B5%9B%E7%9C%9F%E9%A2%98%2B%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/1993%E5%B9%B4%E5%9B%BD%E8%B5%9B%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/1993%E5%B9%B4B%E9%A2%98%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87%E2%91%A1%20%E8%B6%B3%E7%90%83%E6%8E%92%E5%90%8D%E6%AC%A1%E9%97%AE%E9%A2%98.pdf,,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文② 足球排名次问题.pdf,link-and-metadata only; source repository has no declared license and underlying paper rights were not assumed
CUMCM-REF-0008,1993,B,,3 一个给足球队排名次的方法,repository_collection_claim,B,,,,923141,734ffdce4d0fa12121269a6bbefc7bf7162b3acf,https://github.com/Xiaocold-B216/cumcm-modeling-Award-Collection/blob/a042ecf898feaba6fc81d543a10e0188db8b2b12/1993%E5%B9%B4%E6%95%B0%E5%AD%A6%E5%BB%BA%E6%A8%A1%E5%9B%BD%E8%B5%9B%E7%9C%9F%E9%A2%98%2B%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/1993%E5%B9%B4%E5%9B%BD%E8%B5%9B%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/1993%E5%B9%B4B%E9%A2%98%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87%E2%91%A2%20%E4%B8%80%E4%B8%AA%E7%BB%99%E8%B6%B3%E7%90%83%E9%98%9F%E6%8E%92%E5%90%8D%E6%AC%A1%E7%9A%84%E6%96%B9%E6%B3%95.pdf,,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文③ 一个给足球队排名次的方法.pdf,link-and-metadata only; source repository has no declared license and underlying paper rights were not assumed
CUMCM-REF-0009,1994,A,,数学建模优秀论文,repository_collection_claim,B,,,,15135324,0d6432b37b8790f40efb09424c62879d78a69b34,https://github.com/Xiaocold-B216/cumcm-modeling-Award-Collection/blob/a042ecf898feaba6fc81d543a10e0188db8b2b12/1994%E5%B9%B4%E6%95%B0%E5%AD%A6%E5%BB%BA%E6%A8%A1%E5%9B%BD%E8%B5%9B%E7%9C%9F%E9%A2%98%2B%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/1994%E5%B9%B4%E5%9B%BD%E8%B5%9B%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/1994A%E6%95%B0%E5%AD%A6%E5%BB%BA%E6%A8%A1%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87.pdf,,1994年数学建模国赛真题+优秀论文/1994年国赛优秀论文/1994A数学建模优秀论文.pdf,link-and-metadata only; source repository has no declared license and underlying paper rights were not assumed
CUMCM-REF-0010,1994,B,,数学建模优秀论文,repository_collection_claim,B,,,,14231013,4f3198dcc34a945cb2fe64d61f02b95eeeaa152f,https://github.com/Xiaocold-B216/cumcm-modeling-Award-Collection/blob/a042ecf898feaba6fc81d543a10e0188db8b2b12/1994%E5%B9%B4%E6%95%B0%E5%AD%A6%E5%BB%BA%E6%A8%A1%E5%9B%BD%E8%B5%9B%E7%9C%9F%E9%A2%98%2B%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/1994%E5%B9%B4%E5%9B%BD%E8%B5%9B%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/1994B%E6%95%B0%E5%AD%A6%E5%BB%BA%E6%A8%A1%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87.pdf,,1994年数学建模国赛真题+优秀论文/1994年国赛优秀论文/1994B数学建模优秀论文.pdf,link-and-metadata only; source repository has no declared license and underlying paper rights were not assumed
CUMCM-REF-0011,1995,A,,空中防撞系统的设计,repository_collection_claim,B,,,,260803,a112a396b8210dd51d7b7afcd234841e8f98ce8a,https://github.com/Xiaocold-B216/cumcm-modeling-Award-Collection/blob/a042ecf898feaba6fc81d543a10e0188db8b2b12/1995%E5%B9%B4%E6%95%B0%E5%AD%A6%E5%BB%BA%E6%A8%A1%E5%9B%BD%E8%B5%9B%E7%9C%9F%E9%A2%98%2B%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/1995%E5%B9%B4%E5%9B%BD%E8%B5%9B%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/1995A%EF%BC%9A%E7%A9%BA%E4%B8%AD%E9%98%B2%E6%92%9E%E7%B3%BB%E7%BB%9F%E7%9A%84%E8%AE%BE%E8%AE%A1.pdf,,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：空中防撞系统的设计.pdf,link-and-metadata only; source repository has no declared license and underlying paper rights were not assumed
CUMCM-REF-0012,1995,A,,飞行管理模型的线性化处理方法,repository_collection_claim,B,,,,414166,6e32bd3ff2e2dcf3a886e1fb187cb659cdfa4e5c,https://github.com/Xiaocold-B216/cumcm-modeling-Award-Collection/blob/a042ecf898feaba6fc81d543a10e0188db8b2b12/1995%E5%B9%B4%E6%95%B0%E5%AD%A6%E5%BB%BA%E6%A8%A1%E5%9B%BD%E8%B5%9B%E7%9C%9F%E9%A2%98%2B%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/1995%E5%B9%B4%E5%9B%BD%E8%B5%9B%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/1995A%EF%BC%9A%E9%A3%9E%E8%A1%8C%E7%AE%A1%E7%90%86%E6%A8%A1%E5%9E%8B%E7%9A%84%E7%BA%BF%E6%80%A7%E5%8C%96%E5%A4%84%E7%90%86%E6%96%B9%E6%B3%95.pdf,,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理模型的线性化处理方法.pdf,link-and-metadata only; source repository has no declared license and underlying paper rights were not assumed
CUMCM-REF-0013,1995,A,,飞行管理模型的能量梯度求解法,repository_collection_claim,B,,,,525454,07daebc7c602cd099bd6be6042b9fbcdef9a3551,https://github.com/Xiaocold-B216/cumcm-modeling-Award-Collection/blob/a042ecf898feaba6fc81d543a10e0188db8b2b12/1995%E5%B9%B4%E6%95%B0%E5%AD%A6%E5%BB%BA%E6%A8%A1%E5%9B%BD%E8%B5%9B%E7%9C%9F%E9%A2%98%2B%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/1995%E5%B9%B4%E5%9B%BD%E8%B5%9B%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/1995A%EF%BC%9A%E9%A3%9E%E8%A1%8C%E7%AE%A1%E7%90%86%E6%A8%A1%E5%9E%8B%E7%9A%84%E8%83%BD%E9%87%8F%E6%A2%AF%E5%BA%A6%E6%B1%82%E8%A7%A3%E6%B3%95.pdf,,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理模型的能量梯度求解法.pdf,link-and-metadata only; source repository has no declared license and underlying paper rights were not assumed
